AMF	Graal	Mock	Manual Inspection	Note
CSVRecord_321-329:toString	Not Covered	Not Covered	Success	
CSVRecord_245-247:iterator	Error	Success	Success	
CSVRecord_337-339:values	Failure	Success	Success	Graal False Negative - `java.lang.UnsupportedOperationException` raised though the translation is functionally equivalent
CSVRecord_309-311:toMap	Failure	Failure	Failure	
CSVRecord_298-300:toList	Error	Success	Success	
CSVRecord_286-288:stream	Error	Success	Success	
CSVRecord_276-278:size	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_257-269:putIn	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_235-237:isSet1	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_225-227:isSet0	Not Covered	Success	Success	
CSVRecord_214-217:isMapped	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_203-206:isConsistent	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_191-193:hasComment	Not Covered	Success	Success	
CSVRecord_179-181:getRecordNumber	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_166-168:getParser	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_149-151:getComment	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_138-140:getCharacterPosition	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_109-130:get2	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_86-88:get1	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_76-78:get0	Not Covered	Not Covered	Success	
CSVRecord_153-155:getHeaderMapRaw	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVRecord_57-68:CSVRecord	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
Constants_77-77:Constants	Not Covered	Not Covered	Success	
IOUtils_128-130:rethrow	Success	Success	Success	
IOUtils_108-117:copyLarge1	Success	Failure	Failure	Graal False Positive - First, read(buffer) in Python does not exist like it does in Java. In Python, `TextIOWrapper.read(size)` returns a string of length ≤ `size`, not a buffer filled in-place. It also causes bugs when EOF handling: Python `read(size)` returns `''` at EOF, not `-1`. So `IOUtils.__EOF` logic doesn’t match Python’s behavior.
IOUtils_91-93:copyLarge0	Success	Success	Success	
IOUtils_64-74:copy1	Success	Failure	Failure	Graal False Positive - First, read(buffer) in Python does not exist like it does in Java. In Python, `TextIOWrapper.read(size)` returns a string of length ≤ `size`, not a buffer filled in-place. It also causes bugs when EOF handling: Python `read(size)` returns `''` at EOF, not `-1`. So `IOUtils.__EOF` logic doesn’t match Python’s behavior.
IOUtils_47-49:copy0	Success	Failure	Failure	Graal False Positive - In the Python translation, the equivalence of a `CharBuffer` is just a Python list of `None`s. But this raises bugs in edge cases, since unlike `CharBuffer`, Python’s `list` has no concept of position/limit, and cannot be passed directly to `read()` (Python’s `TextIOWrapper.readinto()` requires a `bytearray`/`memoryview`.
IOUtils_133-133:IOUtils	Not Covered	Not Covered	Success	
Lexer_85-87:close	Success	Success	Success	
Lexer_386-423:parseSimpleToken	Error	Failure	Failure	
Lexer_310-366:parseEncapsulatedToken	Error	Success	Success	
Lexer_209-211:mapNullToDisabled	Success	Success	Success	
Lexer_190-192:isMetaChar	Success	Success	Success	
Lexer_488-496:trimTrailingSpaces	Failure	Not Covered	Failure	
Lexer_459-486:readEscape	Failure	Failure	Failure	
Lexer_431-447:readEndOfLine	Success	Success	Success	
Lexer_223-285:nextToken	Error	Failure	Failure	
Lexer_205-207:isStartOfLine	Success	Success	Success	
Lexer_194-196:isQuoteChar	Success	Success	Success	
Lexer_175-188:isEscapeDelimiter	Failure	Success	Success	Graal False Negative - `org.opentest4j.AssertionFailedError` raised though the translation is functionally equivalent
Lexer_161-163:isEscape	Success	Success	Success	
Lexer_152-154:isEndOfFile	Success	Success	Success	
Lexer_127-145:isDelimiter	Failure	Success	Success	Graal False Negative - `java.io.IOException` raised though the translation is functionally equivalent
Lexer_115-117:isCommentStart	Success	Success	Success	
Lexer_111-113:isClosed	Success	Success	Success	
Lexer_107-109:getFirstEol	Success	Success	Success	
Lexer_103-105:getCurrentLineNumber	Failure	Failure	Failure	
Lexer_94-96:getCharacterPosition	Success	Success	Success	
Lexer_67-77:Lexer	Error	Failure	Failure	
CSVPrinter_136-140:flush	Error	Failure	Failure	
CSVPrinter_106-108:close	Error	Success	Success	
CSVPrinter_365-367:printRecords1	Success	Success	Success	
CSVPrinter_327-331:printRecords0	Success	Success	Success	
CSVPrinter_273-283:printRecord2	Success	Failure	Failure	Graal False Positive - the method shall call the repository level `print_()` function (with underscore to escape Python `print()` function), not `print()`
CSVPrinter_257-259:printRecord1	Error	Success	Success	
CSVPrinter_239-244:printRecord0	Error	Success	Success	
CSVPrinter_223-226:println	Error	Failure	Failure	
CSVPrinter_179-206:printComment	Error	Failure	Failure	
CSVPrinter_158-161:print	Error	Failure	Failure	
CSVPrinter_147-149:getOut	Not Covered	Success	Success	
CSVPrinter_121-128:close1	Error	Success	Success	
CSVPrinter_110-112:close0	Not Covered	Success	Success	
CSVPrinter_88-103:CSVPrinter	Error	Failure	Failure	
CSVPrinter_285-293:printRecordObject	Success	Failure	Failure	Graal False Positive - LLM superfluously translates `value` to `[value]`
Builder_265-271:setAllowDuplicateHeaderNames	Not Covered	Not Covered	Success	
Builder_672-675:setTrim	Success	Success	Success	
Builder_661-664:setTrailingDelimiter	Success	Success	Success	
Builder_650-653:setSkipHeaderRecord	Success	Success	Success	
Builder_639-642:setRecordSeparator1	Success	Success	Success	
Builder_625-628:setRecordSeparator0	Success	Success	Success	
Builder_611-614:setQuoteMode	Success	Success	Success	
Builder_597-603:setQuote1	Error	Failure	Failure	
Builder_586-589:setQuote0	Failure	Failure	Failure	
Builder_574-578:setNullString	Not Covered	Failure	Failure	
Builder_554-557:setIgnoreSurroundingSpaces	Success	Success	Success	
Builder_541-544:setIgnoreHeaderCase	Success	Success	Success	
Builder_528-531:setIgnoreEmptyLines	Success	Success	Success	
Builder_514-517:setHeaderComments1	Not Covered	Not Covered	Success	
